[21:59:51] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:59:51] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:59:51] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:59:51] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:59:51] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:59:51] [Server thread/INFO]: Starting minecraft server version 1.15.2
[21:59:51] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[21:59:51] [Server thread/INFO]: Loading properties
[21:59:51] [Server thread/INFO]: Default game type: SURVIVAL
[21:59:51] [Server thread/INFO]: Generating keypair
[21:59:52] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:59:52] [Server thread/INFO]: Using epoll channel type
[21:59:53] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[21:59:53] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[21:59:53] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[21:59:53] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[21:59:53] [Server thread/INFO]: Preparing level "world"
[21:59:53] [Server thread/INFO]: Reloading ResourceManager: Default
[22:00:01] [Server thread/INFO]: Loaded 6 recipes
[22:00:04] [Server thread/INFO]: Loaded 825 advancements
[22:00:10] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:00:14] [Server thread/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:01:40] [Server-Worker-1/INFO]: Preparing spawn area: 0%
